route_id,route_long_name,route_type
83X,MID-MARKET EXPRESS,3
82X,LEVI PLAZA EXPRESS,3
3,JACKSON,3
NX,EXPRESS,3
8AX,BAYSHORE A EXPRESS,3
14R,MISSION RAPID,3
38AX,GEARY A EXPRESS,3
55,16TH STREET,3
714,BART EARLY BIRD,3
21,HAYES,3
7,HAIGHT-NORIEGA,3
10,TOWNSEND,3
1AX,CALIFORNIA A EXPRESS,3
1BX,CALIFORNIA B EXPRESS,3
1,CALIFORNIA,3
12,FOLSOM-PACIFIC,3
7X,NORIEGA EXPRESS,3
31AX,BALBOA A EXPRESS,3
8,BAYSHORE,3
14,MISSION,3
14X,MISSION EXPRESS,3
8BX,BAYSHORE B EXPRESS,3
31BX,BALBOA B EXPRESS,3
2,SUTTER/CLEMENT,3
5,FULTON,3
18,46TH AVENUE,3
19,POLK,3
5R,FULTON RAPID,3
6,HAIGHT-PARNASSUS,3
38BX,GEARY B EXPRESS,3
9,SAN BRUNO,3
9R,SAN BRUNO RAPID,3
31,BALBOA,3
22,FILLMORE,3
36,TERESITA,3
41,UNION,3
30X,MARINA EXPRESS,3
28R,19TH AVENUE RAPID,3
57,PARKMERCED,3
25,TREASURE ISLAND,3
54,FELTON,3
56,RUTLAND,3
44,O'SHAUGHNESSY,3
29,SUNSET,3
30,STOCKTON,3
33,ASHBURY-18TH ST,3
35,EUREKA,3
24,DIVISADERO,3
37,CORBETT,3
27,BRYANT,3
38,GEARY,3
38R,GEARY RAPID,3
39,COIT,3
43,MASONIC,3
45,UNION-STOCKTON,3
47,VAN NESS,3
48,QUINTARA-24TH STREET,3
49,VAN NESS-MISSION,3
52,EXCELSIOR,3
66,QUINTARA,3
67,BERNAL HEIGHTS,3
81X,CALTRAIN EXPRESS,3
90,SAN BRUNO OWL,3
88,BART SHUTTLE,3
T-OWL,OWL THIRD,3
K-OWL,OWL INGLESIDE,3
L-OWL,OWL TARAVAL,3
M-OWL,OWL OCEANVIEW,3
91,3RD-19TH AVE OWL,3
N-OWL,OWL JUDAH,3
23,MONTEREY,3
28,19TH AVENUE,3
76X,MARIN HEADLANDS EXPRESS,3
